code_a,name_a,country_a,code_b,name_b,country_b,water_type,water_body,border_km,ne_cov,has_bridge,crossings,note
CHE016,Sankt Gallen,Switzerland,LIE002,Eschen,Liechtenstein,river,Rhein,2.2,1.0,False,,recheck2:False:no bridge at this unit (Eschen inland)
AUT008,Vorarlberg,Austria,DEU001,Baden-Wuerttemberg,Germany,lake,Bodensee,1.2,1.0,False,,huge-lake/knowledge
MDA019,Glodeni,Moldova,ROU025,Iaşi,Romania,river,Prut,0.9,1.0,False,,verified:no-open-bridge
COD009,Nord-Kivu,Democratic Republic of Congo,UGA102,Rukungiri,Uganda,lake,Lake Edward,0.8,1.0,False,,huge-lake/knowledge
CAN003,Manitoba,Canada,CAN006,Northwest Territories / Territoires du Nord-Ouest,Canada,lake,Kasba Lake,0.4,1.0,False,,osm
MMR006,Kayin,Myanmar,THA022,Mae Hong Son,Thailand,river,Salween,140.0,0.95,False,,verified:no-open-bridge
ARG008,Entre Rios,Argentina,URY011,Paysandu,Uruguay,river,Uruguay,136.8,1.0,True,Puente Internacional General Artigas,osm
BEN001,Alibori,Benin,NER003,Dosso,Niger,river,Niger,133.6,1.0,True,Ancien Pont Gaya-Malanville; yes,recheck2:physical-link-border-closed:border closed (2023 coup)
HRV010,Osijek-baranja,Croatia,SRB024,Zapadno-backi,Serbia,river,Danube; Ferenc Csatorna; Mur,128.6,0.79,True,Batinski most; Batinski most / Мост 51. дивизије; Most Erdut - Bogojevo; Vukovar-B.n. – Erdut – DG; yes,osm
ARG007,Corrientes,Argentina,PRY012,Itapua,Paraguay,river,Paraná; Yacyreta Reservoir,119.7,1.0,False,,verified:no-open-bridge
CIV037,Zanzan,Côte d'Ivoire,GHA017,Savannah,Ghana,river,Mouhoun,114.4,1.0,False,,recheck2:False:under-construction (Black Volta)
MDA036,Ungheni,Moldova,ROU025,Iaşi,Romania,river,Prut,113.3,0.97,True,600; Calea combinată (1520/1435 mm); Podul Eiffel; Podul Sculeni - Sculeni; R16-frontiera cu România,osm
