level,code_a,code_b,has_bridge,water_type,water_body,note
adm1,ARM001,TUR045,False,river,Aras,
adm1,BFA013,GHA017,False,river,Mouhoun,
adm1,COD011,BDI001,False,river,Rusizi,
adm1,LTU007,RUS023,True,river,Neman,
adm1,LAO003,THA027,False,river,Mekong,
adm1,IRN001,AZE029,False,river,Aras,
adm1,AZE054,TUR038,True,river,Aras,
adm1,AZE015,IRN004,False,river,Aras,
adm1,HRV010,SRB005,False,river,Danube,
adm1,IRQ010,SYR001,True,river,Dicle; Tigris,
adm1,MRT006,SEN014,False,river,Sénégal,
adm1,HRV010,HUN001,False,river,Danube; Ferenc Csatorna,
adm1,CHE004,DEU001,True,river,Rhin,
adm1,CHE016,LIE001,True,river,Rhein,
adm1,CHE016,LIE003,True,river,Rhein,
adm1,AUT008,LIE006,False,river,Rhein,
adm1,AZE054,IRN026,False,river,Aras,
adm1,BIH002,MNE021,False,river,Drina,
adm1,FRA011,CHE006,False,river,Doubs,
adm1,COD030,TZA010,False,lake,Lake Tanganyika,
adm1,TZA006,TZA021,False,lake,Lake Victoria,
adm1,COD017,UGA031,False,lake,Lake Albert,
adm1,TZA006,UGA040,False,lake,Lake Victoria,
adm1,UGA040,UGA073,False,lake,Lake Victoria,
adm1,RUS061,EST013,False,lake,Lake Peipus; Lake Pskov,
adm1,UGA026,UGA015,False,lake,Lake Victoria,
adm1,NIC004,NIC017,False,lake,Lago de Nicaragua,
adm1,KEN008,UGA088,False,lake,Lake Victoria,
adm1,UGA040,UGA084,False,lake,Lake Victoria,
adm1,CIV032,CIV034,False,lake,Lac de Kossou,
adm1,COD030,TZA009,False,lake,Lake Tanganyika,
adm1,JOR009,PSE004,False,lake,Dead Sea,
adm1,KEN027,UGA088,False,lake,Lake Victoria,
adm1,UGA005,UGA027,False,lake,Lake Kyoga,
adm1,COD009,UGA101,False,lake,Lake Edward,
adm1,TZA016,UGA040,False,lake,Lake Victoria,
adm1,MDA008,ROU019,False,river,Prut,
adm1,JOR004,PSE004,False,lake,Dead Sea,
adm1,PSE003,PSE004,False,lake,Dead Sea,
adm1,UGA015,UGA075,False,lake,Lake Victoria,
adm1,NLD002,NLD010,False,lake,IJsselmeer,
adm1,BOL001,BRA026,False,river,Guaporé; Madeira; Madre de Dios,
adm1,USA044,MEX005,True,river,Pecos; Rio Grande,
adm1,ROU019,UKR016,False,river,Danube,river-gap overlay (audited near-miss)
adm1,ROU039,UKR016,False,river,Danube; Chilia branch,river-gap overlay (audited near-miss)
adm1,ROU013,SRB001,False,river,Danube; Iron Gates,river-gap overlay (audited near-miss)
adm1,MDA006,ROU041,False,river,Prut,river-gap overlay (audited near-miss)
adm1,DEU012,LUX002,True,river,Moselle,river-gap overlay (audited near-miss)
adm1,GUF001,SUR004,False,river,Maroni,river-gap overlay (audited near-miss)
adm1,BGR018,ROU012,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,BGR016,ROU020,True,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,BGR013,ROU037,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,BGR010,ROU018,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
