ADM1_code_A,ADM1_name_A,country_A,ISO_A3_A,WB_region_A,ADM1_code_B,ADM1_name_B,country_B,ISO_A3_B,WB_region_B,cross_country,border_length_km,narrow_border,potential_artifact
AFG025,Paktika,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,161.4565,False,False
AFG026,Paktya,Afghanistan,AFG,SAR,PAK005,Khyber Pakhtunkhwa,Pakistan,PAK,SAR,True,47.4511,False,False
AFG027,Panjsher,Afghanistan,AFG,SAR,AFG028,Parwan,Afghanistan,AFG,SAR,False,34.2454,False,False
AFG027,Panjsher,Afghanistan,AFG,SAR,AFG031,Takhar,Afghanistan,AFG,SAR,False,42.671,False,False
AFG028,Parwan,Afghanistan,AFG,SAR,AFG033,Wardak,Afghanistan,AFG,SAR,False,82.9958,False,False
AFG029,Samangan,Afghanistan,AFG,SAR,AFG030,Sar-e-Pul,Afghanistan,AFG,SAR,False,55.723,False,False
AFG031,Takhar,Afghanistan,AFG,SAR,TJK004,Khatlon Province,Tajikistan,TJK,ECA,True,137.8809,False,False
AFG032,Uruzgan,Afghanistan,AFG,SAR,AFG034,Zabul,Afghanistan,AFG,SAR,False,130.4102,False,False
AFG034,Zabul,Afghanistan,AFG,SAR,PAK002,Balochistan,Pakistan,PAK,SAR,True,73.9354,False,False
AGO001,Bengo,Angola,AGO,AFR,AGO018,Zaire,Angola,AGO,AFR,False,89.0527,False,False
AGO002,Benguela,Angola,AGO,AFR,AGO007,Cuanza Sul,Angola,AGO,AFR,False,181.2389,False,False
AGO002,Benguela,Angola,AGO,AFR,AGO009,Huambo,Angola,AGO,AFR,False,169.1427,False,False
AGO002,Benguela,Angola,AGO,AFR,AGO010,Huíla,Angola,AGO,AFR,False,209.8007,False,False
AGO002,Benguela,Angola,AGO,AFR,AGO016,Namibe,Angola,AGO,AFR,False,145.3867,False,False
AGO003,Bié,Angola,AGO,AFR,AGO005,Cuando Cubango,Angola,AGO,AFR,False,243.9678,False,False
AGO003,Bié,Angola,AGO,AFR,AGO007,Cuanza Sul,Angola,AGO,AFR,False,162.8078,False,False
AGO003,Bié,Angola,AGO,AFR,AGO009,Huambo,Angola,AGO,AFR,False,320.3231,False,False
AGO003,Bié,Angola,AGO,AFR,AGO010,Huíla,Angola,AGO,AFR,False,74.417,False,False
AGO003,Bié,Angola,AGO,AFR,AGO013,Lunda Sul,Angola,AGO,AFR,False,86.6609,False,False
AGO003,Bié,Angola,AGO,AFR,AGO014,Malanje,Angola,AGO,AFR,False,478.3009,False,False
AGO003,Bié,Angola,AGO,AFR,AGO015,Moxico,Angola,AGO,AFR,False,332.2619,False,False
AGO004,Cabinda,Angola,AGO,AFR,COG005,Kouilou,Congo,COG,AFR,True,132.2723,False,False
AGO004,Cabinda,Angola,AGO,AFR,COG010,Point-Noire,Congo,COG,AFR,True,39.1774,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,AGO008,Cunene,Angola,AGO,AFR,False,292.504,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,AGO010,Huíla,Angola,AGO,AFR,False,149.812,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,AGO015,Moxico,Angola,AGO,AFR,False,654.947,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,NAM001,Caprivi,Namibia,NAM,AFR,True,101.3069,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,NAM005,Kavango,Namibia,NAM,AFR,True,582.9844,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,NAM008,Ohangwena,Namibia,NAM,AFR,True,76.9594,False,False
AGO005,Cuando Cubango,Angola,AGO,AFR,ZMB110,Western,Zambia,ZMB,AFR,True,288.1142,False,False
AGO006,Cuanza Norte,Angola,AGO,AFR,AGO001,Bengo,Angola,AGO,AFR,False,185.0099,False,False
AGO006,Cuanza Norte,Angola,AGO,AFR,AGO007,Cuanza Sul,Angola,AGO,AFR,False,68.1975,False,False
AGO006,Cuanza Norte,Angola,AGO,AFR,AGO011,Luanda,Angola,AGO,AFR,False,138.6811,False,False
AGO006,Cuanza Norte,Angola,AGO,AFR,AGO014,Malanje,Angola,AGO,AFR,False,260.565,False,False
AGO006,Cuanza Norte,Angola,AGO,AFR,AGO017,Uíge,Angola,AGO,AFR,False,189.5909,False,False
AGO007,Cuanza Sul,Angola,AGO,AFR,AGO009,Huambo,Angola,AGO,AFR,False,149.77,False,False
AGO007,Cuanza Sul,Angola,AGO,AFR,AGO011,Luanda,Angola,AGO,AFR,False,230.0355,False,False
AGO007,Cuanza Sul,Angola,AGO,AFR,AGO014,Malanje,Angola,AGO,AFR,False,246.6749,False,False
AGO008,Cunene,Angola,AGO,AFR,AGO010,Huíla,Angola,AGO,AFR,False,448.858,False,False
AGO008,Cunene,Angola,AGO,AFR,AGO016,Namibe,Angola,AGO,AFR,False,116.9132,False,False
AGO008,Cunene,Angola,AGO,AFR,NAM007,Kunene,Namibia,NAM,AFR,True,124.5186,False,False
AGO008,Cunene,Angola,AGO,AFR,NAM008,Ohangwena,Namibia,NAM,AFR,True,183.6465,False,False
AGO008,Cunene,Angola,AGO,AFR,NAM010,Omusati,Namibia,NAM,AFR,True,143.7182,False,False
AGO010,Huíla,Angola,AGO,AFR,AGO009,Huambo,Angola,AGO,AFR,False,219.4465,False,False
AGO010,Huíla,Angola,AGO,AFR,AGO016,Namibe,Angola,AGO,AFR,False,355.2664,False,False
AGO011,Luanda,Angola,AGO,AFR,AGO001,Bengo,Angola,AGO,AFR,False,132.5403,False,False
AGO012,Lunda Norte,Angola,AGO,AFR,AGO013,Lunda Sul,Angola,AGO,AFR,False,568.3322,False,False
AGO012,Lunda Norte,Angola,AGO,AFR,AGO014,Malanje,Angola,AGO,AFR,False,383.1131,False,False
AGO012,Lunda Norte,Angola,AGO,AFR,COD018,Kasaï,Democratic Republic of Congo,COD,AFR,True,272.1424,False,False
AGO012,Lunda Norte,Angola,AGO,AFR,COD019,Kasaï-Central,Democratic Republic of Congo,COD,AFR,True,53.2099,False,False
AGO012,Lunda Norte,Angola,AGO,AFR,COD021,Kwango,Democratic Republic of Congo,COD,AFR,True,457.1315,False,False
AGO012,Lunda Norte,Angola,AGO,AFR,COD024,Lualaba,Democratic Republic of Congo,COD,AFR,True,93.4968,False,False
AGO013,Lunda Sul,Angola,AGO,AFR,AGO014,Malanje,Angola,AGO,AFR,False,206.012,False,False
AGO013,Lunda Sul,Angola,AGO,AFR,AGO015,Moxico,Angola,AGO,AFR,False,467.464,False,False
AGO013,Lunda Sul,Angola,AGO,AFR,COD024,Lualaba,Democratic Republic of Congo,COD,AFR,True,348.4298,False,False
AGO014,Malanje,Angola,AGO,AFR,AGO017,Uíge,Angola,AGO,AFR,False,255.3694,False,False
AGO014,Malanje,Angola,AGO,AFR,COD021,Kwango,Democratic Republic of Congo,COD,AFR,True,149.5201,False,False
AGO015,Moxico,Angola,AGO,AFR,COD024,Lualaba,Democratic Republic of Congo,COD,AFR,True,345.3196,False,False
AGO015,Moxico,Angola,AGO,AFR,ZMB108,North-Western,Zambia,ZMB,AFR,True,602.8115,False,False
AGO015,Moxico,Angola,AGO,AFR,ZMB110,Western,Zambia,ZMB,AFR,True,271.7012,False,False
AGO016,Namibe,Angola,AGO,AFR,NAM007,Kunene,Namibia,NAM,AFR,True,217.852,False,False
AGO017,Uíge,Angola,AGO,AFR,AGO001,Bengo,Angola,AGO,AFR,False,198.1013,False,False
AGO017,Uíge,Angola,AGO,AFR,AGO018,Zaire,Angola,AGO,AFR,False,314.7778,False,False
AGO017,Uíge,Angola,AGO,AFR,COD002,Kongo Central,Democratic Republic of Congo,COD,AFR,True,153.1207,False,False
AGO017,Uíge,Angola,AGO,AFR,COD021,Kwango,Democratic Republic of Congo,COD,AFR,True,320.3729,False,False
AIA001,Name Unknown,Anguilla (U.K.),AIA,Other,AIA003,Name Unknown,Anguilla (U.K.),AIA,Other,False,0.1248,True,True
AIA002,Name Unknown,Anguilla (U.K.),AIA,Other,AIA003,Name Unknown,Anguilla (U.K.),AIA,Other,False,1.1376,True,False
AIA006,Name Unknown,Anguilla (U.K.),AIA,Other,AIA001,Name Unknown,Anguilla (U.K.),AIA,Other,False,2.9061,True,False
AIA006,Name Unknown,Anguilla (U.K.),AIA,Other,AIA002,Name Unknown,Anguilla (U.K.),AIA,Other,False,2.6095,True,False
AIA006,Name Unknown,Anguilla (U.K.),AIA,Other,AIA003,Name Unknown,Anguilla (U.K.),AIA,Other,False,3.1293,True,False
AIA008,Name Unknown,Anguilla (U.K.),AIA,Other,AIA002,Name Unknown,Anguilla (U.K.),AIA,Other,False,1.4609,True,False
AIA008,Name Unknown,Anguilla (U.K.),AIA,Other,AIA006,Name Unknown,Anguilla (U.K.),AIA,Other,False,1.1093,True,False
AIA008,Name Unknown,Anguilla (U.K.),AIA,Other,AIA009,Name Unknown,Anguilla (U.K.),AIA,Other,False,3.8573,True,False
AIA009,Name Unknown,Anguilla (U.K.),AIA,Other,AIA002,Name Unknown,Anguilla (U.K.),AIA,Other,False,2.1666,True,False
AIA010,Name Unknown,Anguilla (U.K.),AIA,Other,AIA008,Name Unknown,Anguilla (U.K.),AIA,Other,False,2.9886,True,False
AIA010,Name Unknown,Anguilla (U.K.),AIA,Other,AIA009,Name Unknown,Anguilla (U.K.),AIA,Other,False,2.7698,True,False
ALB001,Berat,Albania,ALB,ECA,ALB007,Elbasan,Albania,ALB,ECA,False,5.211,False,False
ALB001,Berat,Albania,ALB,ECA,ALB008,Fier,Albania,ALB,ECA,False,21.8616,False,False
ALB002,Bulqize,Albania,ALB,ECA,ALB005,Diber,Albania,ALB,ECA,False,30.2471,False,False
ALB002,Bulqize,Albania,ALB,ECA,ALB020,Librazhd,Albania,ALB,ECA,False,35.4606,False,False
